"Page Domain","3P Element Domain","3P Domain Owner","3P Domain Owner Country"
"Gmanetwork.com","bugsnag.com","Bugsnag","US"
"Gmanetwork.com","cloudfront.net","Amazon Web Services","US"
"Gmanetwork.com","doubleclick.net","DoubleClick","US"
"Gmanetwork.com","everesttech.net","Adobe Systems","US"
"Gmanetwork.com","exelator.com","exelate","US"
"Gmanetwork.com","gmanetwork.com","Unknown",""
"Gmanetwork.com","gmanews.tv","Unknown",""
"Gmanetwork.com","google-analytics.com","Google Analytics","US"
"Gmanetwork.com","google.com","Google","US"
"Gmanetwork.com","googleapis.com","Google APIs","US"
"Gmanetwork.com","googlesyndication.com","AdSense","US"
"Gmanetwork.com","googletagservices.com","Google Tag Manager","US"
"Gmanetwork.com","gstatic.com","Google","US"
"Gmanetwork.com","igma.tv","Unknown",""
"Gmanetwork.com","ivideosmart.com","Unknown",""
"Gmanetwork.com","ivstracker.net","Unknown",""
"Gmanetwork.com","jquery.com","jQuery Foundation","US"
"Gmanetwork.com","jsdelivr.net","jsDelivr","US"
"Gmanetwork.com","mathtag.com","Media Math","US"
"Gmanetwork.com","sitescout.com","SiteScout","US"
"Gmanetwork.com","spotxchange.com","Spot X Change","US"
"Gmanetwork.com","tapad.com","TapAd","US"
"Gmanetwork.com","w55c.net","DataXu","US"
"Gmanetwork.com","webvisor.org","Unknown",""
"Gmanetwork.com","yandex.ru","Yandex","RU"
"Inquirer.net","2mdn.net","DoubleClick","US"
"Inquirer.net","33across.com","33Across","US"
"Inquirer.net","adap.tv","ONE by Aol","US"
"Inquirer.net","adnxs.com","AppNexus","US"
"Inquirer.net","adrecover.com","Unknown",""
"Inquirer.net","adsafeprotected.com","Integral Ad Science","US"
"Inquirer.net","adsrvr.org","The Trade Desk","US"
"Inquirer.net","advertising.com","ONE by Aol","US"
"Inquirer.net","agkn.com","Neustar Marketing","US"
"Inquirer.net","akstat.io","Akamai","US"
"Inquirer.net","alexametrics.com","Alexa","US"
"Inquirer.net","amazon-adsystem.com","Amazon Marketing Services","US"
"Inquirer.net","ampproject.org","Unknown",""
"Inquirer.net","aniview.com","Unknown",""
"Inquirer.net","aralego.net","Unknown",""
"Inquirer.net","bidr.io","Beeswax","US"
"Inquirer.net","bootstrapcdn.com","StackPath","US"
"Inquirer.net","cloudflare.com","Cloudflare","US"
"Inquirer.net","cloudfront.net","Amazon Web Services","US"
"Inquirer.net","consensu.org","Unknown",""
"Inquirer.net","crazyegg.com","Crazy Egg","US"
"Inquirer.net","criteo.net","Criteo","FR"
"Inquirer.net","digitru.st","Unknown",""
"Inquirer.net","doubleclick.net","DoubleClick","US"
"Inquirer.net","everesttech.net","Adobe Systems","US"
"Inquirer.net","exelator.com","exelate","US"
"Inquirer.net","eyeota.net","Eyeota","SG"
"Inquirer.net","facebook.com","Facebook","US"
"Inquirer.net","facebook.net","Facebook","US"
"Inquirer.net","go-mpulse.net","Soasta","US"
"Inquirer.net","google-analytics.com","Google Analytics","US"
"Inquirer.net","google.com","Google","US"
"Inquirer.net","googleapis.com","Google APIs","US"
"Inquirer.net","googlesyndication.com","AdSense","US"
"Inquirer.net","googletagmanager.com","Google Tag Manager","US"
"Inquirer.net","googletagservices.com","Google Tag Manager","US"
"Inquirer.net","gstatic.com","Google","US"
"Inquirer.net","iasds01.com","Integral Ad Science","US"
"Inquirer.net","innity.com","Unknown",""
"Inquirer.net","innity.net","Unknown",""
"Inquirer.net","inquirer.net","Unknown",""
"Inquirer.net","ivideosmart.com","Unknown",""
"Inquirer.net","ivstracker.net","Unknown",""
"Inquirer.net","izooto.com","Unknown",""
"Inquirer.net","jsdelivr.net","jsDelivr","US"
"Inquirer.net","linksynergy.com","Unknown",""
"Inquirer.net","mathtag.com","Media Math","US"
"Inquirer.net","media6degrees.com","Dstillery","US"
"Inquirer.net","moatads.com","Moat","US"
"Inquirer.net","onthe.io","Unknown",""
"Inquirer.net","openx.net","OpenX","US"
"Inquirer.net","outbrain.com","Outbrain","US"
"Inquirer.net","outbrainimg.com","Unknown",""
"Inquirer.net","pippio.com","LiveRamp","US"
"Inquirer.net","pro-market.net","Datonics","US"
"Inquirer.net","rezync.com","Unknown",""
"Inquirer.net","rlcdn.com","LiveRamp","US"
"Inquirer.net","rubiconproject.com","Rubicon Project","US"
"Inquirer.net","scorecardresearch.com","ScorecardResearch","US"
"Inquirer.net","sitescout.com","SiteScout","US"
"Inquirer.net","skimresources.com","Skimlinks","UK"
"Inquirer.net","spotx.tv","Spot X Change","US"
"Inquirer.net","spotxcdn.com","Spot X Change","US"
"Inquirer.net","spotxchange.com","Spot X Change","US"
"Inquirer.net","tapad.com","TapAd","US"
"Inquirer.net","teads.tv","Teads","US"
"Inquirer.net","tynt.com","33Across","US"
"Inquirer.net","typekit.net","Typekit","US"
"Inquirer.net","vidazoo.com","Unknown",""
"Inquirer.net","vidible.tv","Unknown",""
"Inquirer.net","w55c.net","DataXu","US"
"Inquirer.net","weborama.com","weborama","FR"
"Inquirer.net","weborama.fr","weborama","FR"
"Inquirer.net","webvisor.org","Unknown",""
"Inquirer.net","xspadvertising.com","Unknown",""
"Inquirer.net","yahoo.com","Yahoo","US"
"Inquirer.net","yandex.ru","Yandex","RU"
"Inquirer.net","zeotap.com","Unknown",""
"Khmerload.com","alexametrics.com","Alexa","US"
"Khmerload.com","ampproject.org","Unknown",""
"Khmerload.com","bootstrapcdn.com","StackPath","US"
"Khmerload.com","cloudflare.com","Cloudflare","US"
"Khmerload.com","cloudfront.net","Amazon Web Services","US"
"Khmerload.com","doubleclick.net","DoubleClick","US"
"Khmerload.com","facebook.com","Facebook","US"
"Khmerload.com","facebook.net","Facebook","US"
"Khmerload.com","google-analytics.com","Google Analytics","US"
"Khmerload.com","google.com","Google","US"
"Khmerload.com","googleapis.com","Google APIs","US"
"Khmerload.com","googlesyndication.com","AdSense","US"
"Khmerload.com","googletagservices.com","Google Tag Manager","US"
"Khmerload.com","kh1.co","Unknown",""
"Khmerload.com","khmerload.com","Unknown",""
"Khmerload.com","onesignal.com","Unknown",""
"Khmerload.com","youtube.com","YouTube","US"
"Lazada.co.th","alibaba.com","Alibaba","CN"
"Lazada.co.th","alicdn.com","Alibaba","CN"
"Lazada.co.th","aliyuncs.com","Alibaba","CN"
"Lazada.co.th","bing.com","Bing","US"
"Lazada.co.th","criteo.com","Criteo","FR"
"Lazada.co.th","criteo.net","Criteo","FR"
"Lazada.co.th","doubleclick.net","DoubleClick","US"
"Lazada.co.th","everestjs.net","Adobe Systems","US"
"Lazada.co.th","everesttech.net","Adobe Systems","US"
"Lazada.co.th","facebook.com","Facebook","US"
"Lazada.co.th","facebook.net","Facebook","US"
"Lazada.co.th","google.com","Google","US"
"Lazada.co.th","googleadservices.com","AdSense","US"
"Lazada.co.th","googletagmanager.com","Google Tag Manager","US"
"Lazada.co.th","lazada.co.th","Unknown",""
"Lazada.co.th","mmstat.com","Alibaba","CN"
"Lazada.co.th","slatic.net","Unknown",""
"Lazada.co.th","taobao.com","Alibaba","CN"
"Pantip.com","adnxs.com","AppNexus","US"
"Pantip.com","doubleclick.net","DoubleClick","US"
"Pantip.com","facebook.com","Facebook","US"
"Pantip.com","facebook.net","Facebook","US"
"Pantip.com","google-analytics.com","Google Analytics","US"
"Pantip.com","googletagmanager.com","Google Tag Manager","US"
"Pantip.com","innity.com","Unknown",""
"Pantip.com","innity.net","Unknown",""
"Pantip.com","pantip.com","Unknown",""
"Pantip.com","ptcdn.info","Unknown",""
"Pantip.com","twitter.com","Twitter","US"
"com.kh","alexametrics.com","Alexa","US"
"com.kh","bootstrapcdn.com","StackPath","US"
"com.kh","cloudfront.net","Amazon Web Services","US"
"com.kh","comodo.com","Unknown",""
"com.kh","digitaloceanspaces.com","Unknown",""
"com.kh","doubleclick.net","DoubleClick","US"
"com.kh","facebook.com","Facebook","US"
"com.kh","facebook.net","Facebook","US"
"com.kh","google-analytics.com","Google Analytics","US"
"com.kh","google.com","Google","US"
"com.kh","googleapis.com","Google APIs","US"
"com.kh","googletagmanager.com","Google Tag Manager","US"
"com.kh","gstatic.com","Google","US"
"com.kh","innity.net","Unknown",""
"com.kh","msacam.com","Unknown",""
"com.kh","sabay.com","Unknown",""
"movie2free.com","cloudflare.com","Cloudflare","US"
"movie2free.com","facebook.com","Facebook","US"
"movie2free.com","facebook.net","Facebook","US"
"movie2free.com","google-analytics.com","Google Analytics","US"
"movie2free.com","googletagmanager.com","Google Tag Manager","US"
"yahoo.com","adtechus.com","ONE by Aol","US"
"yahoo.com","scorecardresearch.com","ScorecardResearch","US"
"yahoo.com","yimg.com","Yahoo","US"
"zalora.com.ph","akstat.io","Akamai","US"
"zalora.com.ph","citrusad.net","Unknown",""
"zalora.com.ph","cloudfront.net","Amazon Web Services","US"
"zalora.com.ph","creativecdn.com","Unknown",""
"zalora.com.ph","criteo.com","Criteo","FR"
"zalora.com.ph","criteo.net","Criteo","FR"
"zalora.com.ph","datajet.io","Unknown",""
"zalora.com.ph","doubleclick.net","DoubleClick","US"
"zalora.com.ph","dynamicyield.com","Unknown",""
"zalora.com.ph","facebook.com","Facebook","US"
"zalora.com.ph","facebook.net","Facebook","US"
"zalora.com.ph","firebaseio.com","Unknown",""
"zalora.com.ph","go-mpulse.net","Soasta","US"
"zalora.com.ph","google-analytics.com","Google Analytics","US"
"zalora.com.ph","google.com","Google","US"
"zalora.com.ph","googleadservices.com","AdSense","US"
"zalora.com.ph","googletagmanager.com","Google Tag Manager","US"
"zalora.com.ph","mailrecipe.com","Unknown",""
"zalora.com.ph","newrelic.com","New Relic","US"
"zalora.com.ph","nr-data.net","New Relic","US"
"zalora.com.ph","tiqcdn.com","Tealium","US"
"zalora.com.ph","useinsider.com","Unknown",""
"zalora.com.ph","veinteractive.com","Ve Interactive","UK"
"zalora.com.ph","vizury.com","Unknown",""
"zalora.com.ph","windows.net","Microsoft","US"
"zalora.com.ph","yahoo.com","Yahoo","US"
"zalora.com.ph","yimg.com","Yahoo","US"
"zalora.com.ph","zacdn.com","Unknown",""
"zalora.com.ph","zalora.com","Unknown",""
"zalora.com.ph","zalora.io","Unknown",""
"zalora.com.ph","zdassets.com","Unknown",""
"zalora.com.ph","zendesk.com","Zendesk","US"
"zalora.com.ph","zopim.com","Zendesk Chat","US"
